CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code
14420,"Borger, TX",Micropolitan Statistical Area,Borger,48,09556
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Boston,25,07000
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Cambridge,25,11000
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Framingham,25,24960
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Newton,25,45560
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Waltham,25,72600
14500,"Boulder, CO",Metropolitan Statistical Area,Boulder,08,07850
14540,"Bowling Green, KY",Metropolitan Statistical Area,Bowling Green,21,08902
14580,"Bozeman, MT",Micropolitan Statistical Area,Bozeman,30,08950
14620,"Bradford, PA",Micropolitan Statistical Area,Bradford,42,08040
14660,"Brainerd, MN",Micropolitan Statistical Area,Brainerd,27,07300
14700,"Branson, MO",Micropolitan Statistical Area,Branson,29,07966
14720,"Breckenridge, CO",Micropolitan Statistical Area,Breckenridge,08,08400
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Bremerton,53,07695
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Port Orchard,53,55785
14740,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,Silverdale,53,64365
14780,"Brenham, TX",Micropolitan Statistical Area,Brenham,48,10156
14820,"Brevard, NC",Micropolitan Statistical Area,Brevard,37,07720
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Bridgeport,09,08000
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Danbury,09,18430
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Norwalk,09,55990
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Stamford,09,73000
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Stratford,09,74260
15020,"Brookhaven, MS",Micropolitan Statistical Area,Brookhaven,28,08820
15060,"Brookings, OR",Micropolitan Statistical Area,Brookings,41,08650
15100,"Brookings, SD",Micropolitan Statistical Area,Brookings,46,07580
15140,"Brownsville, TN",Micropolitan Statistical Area,Brownsville,47,08920
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Brownsville,48,10768
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Harlingen,48,32372
15220,"Brownwood, TX",Micropolitan Statistical Area,Brownwood,48,10780
15260,"Brunswick, GA",Metropolitan Statistical Area,Brunswick,13,11560
15340,"Bucyrus-Galion, OH",Micropolitan Statistical Area,Bucyrus,39,10030
15340,"Bucyrus-Galion, OH",Micropolitan Statistical Area,Galion,39,29162
15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,Buffalo,36,11000
15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,Cheektowaga,36,15000
15420,"Burley, ID",Micropolitan Statistical Area,Burley,16,11260
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Burlington,19,09550
15500,"Burlington, NC",Metropolitan Statistical Area,Burlington,37,09060
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Burlington,50,10675
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,South Burlington,50,66175
15580,"Butte-Silver Bow, MT",Micropolitan Statistical Area,Butte-Silver Bow (balance),30,11397
15620,"Cadillac, MI",Micropolitan Statistical Area,Cadillac,26,12320
15660,"Calhoun, GA",Micropolitan Statistical Area,Calhoun,13,12456
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,California,24,12150
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,Lexington Park,24,46725
15700,"Cambridge, MD",Micropolitan Statistical Area,Cambridge,24,12400
15740,"Cambridge, OH",Micropolitan Statistical Area,Cambridge,39,10996
15780,"Camden, AR",Micropolitan Statistical Area,Camden,05,10720
15820,"Campbellsville, KY",Micropolitan Statistical Area,Campbellsville,21,12160
15860,"Ca�on City, CO",Micropolitan Statistical Area,Ca�on City,08,11810
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Canton,39,12000
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Massillon,39,48244
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Cape Coral,12,10275
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Fort Myers,12,24125
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Cape Girardeau,29,11242
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Carbondale,17,11163
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Marion,17,46916
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Artesia,35,05220
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Carlsbad,35,12150
16140,"Carroll, IA",Micropolitan Statistical Area,Carroll,19,11080
16180,"Carson City, NV",Metropolitan Statistical Area,Carson City,32,09700
16220,"Casper, WY",Metropolitan Statistical Area,Casper,56,13150
16260,"Cedar City, UT",Micropolitan Statistical Area,Cedar City,49,11320
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Cedar Rapids,19,12000
16340,"Cedartown, GA",Micropolitan Statistical Area,Cedartown,13,14500
16380,"Celina, OH",Micropolitan Statistical Area,Celina,39,12868
16420,"Central City, KY",Micropolitan Statistical Area,Central City,21,13978
16460,"Centralia, IL",Micropolitan Statistical Area,Centralia,17,12164
16500,"Centralia, WA",Micropolitan Statistical Area,Centralia,53,11160
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Chambersburg,42,12536
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Waynesboro,42,81824
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Champaign,17,12385
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Urbana,17,77005
16620,"Charleston, WV",Metropolitan Statistical Area,Charleston,54,14600
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Charleston,17,12567
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Mattoon,17,47553
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,Charleston,45,13330
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,North Charleston,45,50875
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Charlotte,37,12000
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Concord,37,14100
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Gastonia,37,25580
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Rock Hill,45,61405
16820,"Charlottesville, VA",Metropolitan Statistical Area,Charlottesville,51,14968
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,Chattanooga,47,14000
16940,"Cheyenne, WY",Metropolitan Statistical Area,Cheyenne,56,13900
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Bolingbrook,17,07133
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Chicago,17,14000
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Des Plaines,17,19642
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Elgin,17,23074
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Evanston,17,24582
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Hoffman Estates,17,35411
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Naperville,17,51622
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Schaumburg,17,68003
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Skokie,17,70122
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Gary,18,27000
17020,"Chico, CA",Metropolitan Statistical Area,Chico,06,13014
17060,"Chillicothe, OH",Micropolitan Statistical Area,Chillicothe,39,14184
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Cincinnati,39,15000
17220,"Clarksburg, WV",Micropolitan Statistical Area,Clarksburg,54,15628
17260,"Clarksdale, MS",Micropolitan Statistical Area,Clarksdale,28,13820
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,Clarksville,47,15160
17340,"Clearlake, CA",Micropolitan Statistical Area,Clearlake,06,13945
17380,"Cleveland, MS",Micropolitan Statistical Area,Cleveland,28,14260
17420,"Cleveland, TN",Metropolitan Statistical Area,Cleveland,47,15400
17460,"Cleveland-Elyria, OH",Metropolitan Statistical Area,Cleveland,39,16000
17460,"Cleveland-Elyria, OH",Metropolitan Statistical Area,Elyria,39,25256
17500,"Clewiston, FL",Micropolitan Statistical Area,Clewiston,12,13000
17540,"Clinton, IA",Micropolitan Statistical Area,Clinton,19,14430
17580,"Clovis, NM",Micropolitan Statistical Area,Clovis,35,16420
17620,"Coamo, PR",Micropolitan Statistical Area,Coamo,72,18719
17640,"Coco, PR",Micropolitan Statistical Area,Coco,72,18891
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,Coeur d'Alene,16,16750
17700,"Coffeyville, KS",Micropolitan Statistical Area,Coffeyville,20,14600
17740,"Coldwater, MI",Micropolitan Statistical Area,Coldwater,26,17020
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,Bryan,48,10912
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,College Station,48,15976
17820,"Colorado Springs, CO",Metropolitan Statistical Area,Colorado Springs,08,16000
17860,"Columbia, MO",Metropolitan Statistical Area,Columbia,29,15670
17900,"Columbia, SC",Metropolitan Statistical Area,Columbia,45,16000
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Columbus,13,19000
18020,"Columbus, IN",Metropolitan Statistical Area,Columbus,18,14734
18060,"Columbus, MS",Micropolitan Statistical Area,Columbus,28,15380
18100,"Columbus, NE",Micropolitan Statistical Area,Columbus,31,10110
18140,"Columbus, OH",Metropolitan Statistical Area,Columbus,39,18000
18180,"Concord, NH",Micropolitan Statistical Area,Concord,33,14200
18220,"Connersville, IN",Micropolitan Statistical Area,Connersville,18,14932
18260,"Cookeville, TN",Micropolitan Statistical Area,Cookeville,47,16920
18300,"Coos Bay, OR",Micropolitan Statistical Area,Coos Bay,41,15250
18380,"Cordele, GA",Micropolitan Statistical Area,Cordele,13,19616
18420,"Corinth, MS",Micropolitan Statistical Area,Corinth,28,15700
18460,"Cornelia, GA",Micropolitan Statistical Area,Cornelia,13,19728
18500,"Corning, NY",Micropolitan Statistical Area,Corning,36,18256
18580,"Corpus Christi, TX",Metropolitan Statistical Area,Corpus Christi,48,17000
18620,"Corsicana, TX",Micropolitan Statistical Area,Corsicana,48,17060
