hpi_type,hpi_flavor,level,placename,place_id,year,quarter,index_nsa
traditional,all-transactions,MSA,"Altoona, PA",11020,2018,3,200.09
traditional,all-transactions,MSA,"Altoona, PA",11020,2018,4,197.02
traditional,all-transactions,MSA,"Altoona, PA",11020,2019,1,196.64
traditional,all-transactions,MSA,"Altoona, PA",11020,2019,2,206.46
traditional,all-transactions,MSA,"Altoona, PA",11020,2019,3,203.39
traditional,all-transactions,MSA,"Altoona, PA",11020,2019,4,205.86
traditional,all-transactions,MSA,"Altoona, PA",11020,2020,1,212.87
traditional,all-transactions,MSA,"Altoona, PA",11020,2020,2,212.02
traditional,all-transactions,MSA,"Altoona, PA",11020,2020,3,212.29
traditional,all-transactions,MSA,"Amarillo, TX",11100,2015,1,176.93
traditional,all-transactions,MSA,"Amarillo, TX",11100,2015,2,178.52
traditional,all-transactions,MSA,"Amarillo, TX",11100,2015,3,182.89
traditional,all-transactions,MSA,"Amarillo, TX",11100,2015,4,183.13
traditional,all-transactions,MSA,"Amarillo, TX",11100,2016,1,184.27
traditional,all-transactions,MSA,"Amarillo, TX",11100,2016,2,187.07
traditional,all-transactions,MSA,"Amarillo, TX",11100,2016,3,189.33
traditional,all-transactions,MSA,"Amarillo, TX",11100,2016,4,189.11
traditional,all-transactions,MSA,"Amarillo, TX",11100,2017,1,189.98
traditional,all-transactions,MSA,"Amarillo, TX",11100,2017,2,191.06
traditional,all-transactions,MSA,"Amarillo, TX",11100,2017,3,193.8
traditional,all-transactions,MSA,"Amarillo, TX",11100,2017,4,194.47
traditional,all-transactions,MSA,"Amarillo, TX",11100,2018,1,195.89
traditional,all-transactions,MSA,"Amarillo, TX",11100,2018,2,197.31
traditional,all-transactions,MSA,"Amarillo, TX",11100,2018,3,199.37
traditional,all-transactions,MSA,"Amarillo, TX",11100,2018,4,198.05
traditional,all-transactions,MSA,"Amarillo, TX",11100,2019,1,201.53
traditional,all-transactions,MSA,"Amarillo, TX",11100,2019,2,202.44
traditional,all-transactions,MSA,"Amarillo, TX",11100,2019,3,204.36
traditional,all-transactions,MSA,"Amarillo, TX",11100,2019,4,206.27
traditional,all-transactions,MSA,"Amarillo, TX",11100,2020,1,208.07
traditional,all-transactions,MSA,"Amarillo, TX",11100,2020,2,209.33
traditional,all-transactions,MSA,"Amarillo, TX",11100,2020,3,210.7
traditional,all-transactions,MSA,"Ames, IA",11180,2015,1,178.63
traditional,all-transactions,MSA,"Ames, IA",11180,2015,2,182.15
traditional,all-transactions,MSA,"Ames, IA",11180,2015,3,182.82
traditional,all-transactions,MSA,"Ames, IA",11180,2015,4,185.63
traditional,all-transactions,MSA,"Ames, IA",11180,2016,1,187.11
traditional,all-transactions,MSA,"Ames, IA",11180,2016,2,191.75
traditional,all-transactions,MSA,"Ames, IA",11180,2016,3,191.72
traditional,all-transactions,MSA,"Ames, IA",11180,2016,4,194.14
traditional,all-transactions,MSA,"Ames, IA",11180,2017,1,192.25
traditional,all-transactions,MSA,"Ames, IA",11180,2017,2,200.02
traditional,all-transactions,MSA,"Ames, IA",11180,2017,3,202.96
