Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change
Idaho,16,2020,4,520.55,57.73999999999995,12.475962057863908
Illinois,17,2020,1,357.29,11.410000000000025,3.298831964843305
Illinois,17,2020,2,358.67,7.819999999999993,2.2288727376371646
Illinois,17,2020,3,362.71,8.699999999999989,2.457557696110276
Illinois,17,2020,4,366.95,10.95999999999998,3.0787381668024327
Indiana,18,2020,1,321.68,16.920000000000016,5.551909699435627
Indiana,18,2020,2,325.23,14.910000000000025,4.804717710750202
Indiana,18,2020,3,332.68,17.53000000000003,5.562430588608609
Indiana,18,2020,4,340.18,22.04000000000002,6.927767649462507
Kansas,20,2020,1,304.67,15.230000000000018,5.261885019347712
Kansas,20,2020,2,307.86,12.889999999999986,4.369935925687353
Kansas,20,2020,3,314.4,15.379999999999995,5.14346866430339
Kansas,20,2020,4,320.48,19.120000000000005,6.344571276878154
Kentucky,21,2020,1,364.54,16.77000000000004,4.822152572102263
Kentucky,21,2020,2,368.75,15.060000000000002,4.257966015437248
Kentucky,21,2020,3,375.88,17.019999999999982,4.742796633784758
Kentucky,21,2020,4,383.2,21.5,5.944152612662427
Louisiana,22,2020,1,297.41,10.480000000000018,3.6524587878576718
Louisiana,22,2020,2,299.63,10.279999999999973,3.552790737860713
Louisiana,22,2020,3,302.24,10.550000000000011,3.6168535088621523
Louisiana,22,2020,4,305.96,11.71999999999997,3.983143012506787
Massachusetts,25,2020,1,839.07,37.1400000000001,4.631326923796355
Massachusetts,25,2020,2,845.86,32.190000000000055,3.9561492988558085
Massachusetts,25,2020,3,861.38,38.25,4.646896601994825
Massachusetts,25,2020,4,878.39,47.639999999999986,5.734577189286787
Maryland,24,2020,1,493.29,19.55000000000001,4.12673618440495
Maryland,24,2020,2,497.6,15.890000000000043,3.2986651719914564
Maryland,24,2020,3,504.35,17.78000000000003,3.65415048194505
Maryland,24,2020,4,513.17,24.749999999999943,5.067360058965632
Maine,23,2020,1,585.37,35.15999999999997,6.390287344831967
Maine,23,2020,2,592.57,28.910000000000082,5.128978462193536
Maine,23,2020,3,605.86,35.25,6.177599411156481
Maine,23,2020,4,626.57,47.06000000000006,8.120653655674632
Michigan,26,2020,1,357.49,16.430000000000007,4.817334193397058
Michigan,26,2020,2,361.09,13.21999999999997,3.800270215885236
Michigan,26,2020,3,369.31,17.180000000000007,4.878879959106014
Michigan,26,2020,4,376.44,21.980000000000018,6.200981775094515
Minnesota,27,2020,1,421.68,18.860000000000014,4.6819919567052315
Minnesota,27,2020,2,424.9,14.339999999999975,3.4927903351519816
Minnesota,27,2020,3,434.12,18.70999999999998,4.503984015791622
Minnesota,27,2020,4,441.48,23.810000000000002,5.700672779945891
Missouri,29,2020,1,352.43,18.090000000000032,5.410659807381717
Missouri,29,2020,2,355.02,14.299999999999955,4.196994599671271
Missouri,29,2020,3,361.72,17.350000000000023,5.0381856723872644
Missouri,29,2020,4,368.78,19.339999999999975,5.53456959706959
Mississippi,28,2020,1,286.45,13.0,4.754068385445237
Mississippi,28,2020,2,287.08,10.149999999999977,3.6651861481240666
Mississippi,28,2020,3,290.37,9.600000000000023,3.4191687146062697
Mississippi,28,2020,4,296.39,14.129999999999995,5.006022815843547
Montana,30,2020,1,499.41,32.31,6.917148362235068
Montana,30,2020,2,499.55,21.79000000000002,4.560867381111859
Montana,30,2020,3,512.96,26.920000000000016,5.538638795160895
Montana,30,2020,4,528.8,38.27999999999997,7.803963141156318
North Carolina,37,2020,1,411.61,22.44999999999999,5.768835440435807
North Carolina,37,2020,2,415.39,19.629999999999995,4.960076814230846
North Carolina,37,2020,3,422.89,22.099999999999966,5.51410963347388
North Carolina,37,2020,4,432.96,26.629999999999995,6.553786331307066
North Dakota,38,2020,1,379.28,11.889999999999986,3.236342850921361
North Dakota,38,2020,2,378.41,4.740000000000009,1.26849894291755
North Dakota,38,2020,3,384.35,8.340000000000032,2.218026116326702
North Dakota,38,2020,4,389.09,11.25,2.9774507728138895
Nebraska,31,2020,1,348.9,15.759999999999991,4.730743831422222
Nebraska,31,2020,2,351.16,10.79000000000002,3.170079619237894
Nebraska,31,2020,3,356.92,14.28000000000003,4.167639505019855
Nebraska,31,2020,4,363.79,18.80000000000001,5.44943331690774
New Hampshire,33,2020,1,517.43,28.749999999999943,5.883195547188333
New Hampshire,33,2020,2,524.61,26.54000000000002,5.328568273535852
New Hampshire,33,2020,3,537.22,31.890000000000043,6.310727643322195
New Hampshire,33,2020,4,553.13,42.18000000000001,8.255210881690969
New Jersey,34,2020,1,548.07,24.08000000000004,4.595507547853975
New Jersey,34,2020,2,552.0,20.41999999999996,3.8413785319236915
New Jersey,34,2020,3,562.04,22.09999999999991,4.093047375634312
New Jersey,34,2020,4,573.75,30.25999999999999,5.5677197372536735
New Mexico,35,2020,1,351.33,22.529999999999973,6.852189781021889
New Mexico,35,2020,2,355.48,18.24000000000001,5.408611078163921
New Mexico,35,2020,3,362.86,19.639999999999986,5.722277256570125
New Mexico,35,2020,4,370.1,24.170000000000016,6.98696268031105
Nevada,32,2020,1,410.13,16.829999999999984,4.2791762013729935
Nevada,32,2020,2,415.62,16.53000000000003,4.141922874539585
Nevada,32,2020,3,421.84,19.17999999999995,4.763323896090982
Nevada,32,2020,4,430.05,24.560000000000002,6.056869466571309
New York,36,2020,1,725.8,37.379999999999995,5.429824816245897
New York,36,2020,2,730.57,29.6400000000001,4.228667627295179
New York,36,2020,3,743.03,32.90999999999997,4.634427984002699
New York,36,2020,4,758.46,39.82000000000005,5.54102193031282
Ohio,39,2020,1,314.84,17.889999999999986,6.024583263175614
Ohio,39,2020,2,317.54,14.100000000000023,4.646717637753764
Ohio,39,2020,3,325.71,17.91999999999996,5.822151466909243
Ohio,39,2020,4,333.24,22.430000000000007,7.216627521637014
Oklahoma,40,2020,1,258.45,11.509999999999991,4.661051267514373
Oklahoma,40,2020,2,260.6,12.100000000000023,4.869215291750512
Oklahoma,40,2020,3,264.63,10.969999999999999,4.324686588346605
Oklahoma,40,2020,4,268.94,13.25,5.182056396417537
