,Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter,total_covid_cases,population,new_cases,total_covid_per_capita_1000,new_cases_per_capita_1000
1352,"Sebring-Avon Park, FL",42700,2020,3,249.8,17.830000000000013,7.686338750700528,2020.5,2177,106221,1827.0,20.49500569567223,17.19998870279888
1353,"Sebring-Avon Park, FL",42700,2020,4,255.89,25.129999999999995,10.890102270757495,2020.75,4975,106221,2798.0,46.83631297012832,26.341307274456085
1354,"Sheboygan, WI",43100,2020,1,194.24,9.550000000000011,5.170826790838709,2020.0,11,115340,11.0,0.09537020981446159,0.09537020981446159
1355,"Sheboygan, WI",43100,2020,2,196.78,5.039999999999992,2.6285595076666275,2020.25,208,115340,197.0,1.8033639674007282,1.7079937575862667
1356,"Sheboygan, WI",43100,2020,3,203.99,10.03,5.171169313260466,2020.5,1881,115340,1673.0,16.308305878272932,14.504941910872203
1357,"Sheboygan, WI",43100,2020,4,205.79,11.349999999999994,5.837276280600697,2020.75,11827,115340,9946.0,102.5403155886943,86.23200971042137
1358,"Sherman-Denison, TX",43300,2020,1,272.25,17.24000000000001,6.760519195325678,2020.0,7,136212,7.0,0.051390479546589145,0.051390479546589145
1359,"Sherman-Denison, TX",43300,2020,2,272.51,11.670000000000016,4.474007054132808,2020.25,572,136212,565.0,4.199336328664142,4.147945849117552
1360,"Sherman-Denison, TX",43300,2020,3,275.78,12.869999999999948,4.89521128903425,2020.5,1908,136212,1336.0,14.007576424984585,9.808240096320443
1361,"Sherman-Denison, TX",43300,2020,4,280.09,15.579999999999984,5.890136478772063,2020.75,6544,136212,4636.0,48.042756878982765,34.03518045399818
1362,"Shreveport-Bossier City, LA",43340,2020,1,198.95,7.009999999999991,3.652182973845989,2020.0,335,394706,335.0,0.8487329810035824,0.8487329810035824
1363,"Shreveport-Bossier City, LA",43340,2020,2,199.55,7.150000000000006,3.7162162162162193,2020.25,4532,394706,4197.0,11.481963790770852,10.63323080976727
1364,"Shreveport-Bossier City, LA",43340,2020,3,203.5,6.639999999999986,3.372955399776484,2020.5,12892,394706,8360.0,32.662285346561745,21.18032155579089
1365,"Shreveport-Bossier City, LA",43340,2020,4,202.26,6.659999999999997,3.404907975460121,2020.75,28562,394706,15670.0,72.36272060723678,39.70043526067503
1366,"Sierra Vista-Douglas, AZ",43420,2020,1,197.02,16.880000000000024,9.370489619185092,2020.0,4,125922,4.0,0.031765696224647005,0.031765696224647005
1367,"Sierra Vista-Douglas, AZ",43420,2020,2,195.21,8.76000000000002,4.6983105390185145,2020.25,645,125922,641.0,5.122218516224329,5.090452819999682
1368,"Sierra Vista-Douglas, AZ",43420,2020,3,202.3,9.920000000000016,5.156461170599863,2020.5,1914,125922,1269.0,15.199885643493591,10.077667127269262
1369,"Sierra Vista-Douglas, AZ",43420,2020,4,204.94,14.359999999999983,7.534893483051729,2020.75,7480,125922,5566.0,59.4018519400899,44.201966296596304
1370,"Sioux City, IA-NE-SD",43580,2020,1,215.94,12.060000000000002,5.915244261330196,2020.0,5,119039,5.0,0.04200304102016986,0.04200304102016986
1371,"Sioux City, IA-NE-SD",43580,2020,2,215.18,7.530000000000001,3.626294245124008,2020.25,5122,144701,5117.0,35.39712925273495,35.36257524135977
1372,"Sioux City, IA-NE-SD",43580,2020,3,220.55,8.580000000000013,4.047742605085631,2020.5,8443,144701,3321.0,58.34790360812987,22.95077435539492
1373,"Sioux City, IA-NE-SD",43580,2020,4,223.91,11.699999999999989,5.513406531266193,2020.75,17982,144701,9539.0,124.27004650969931,65.92214290156944
1374,"Sioux Falls, SD",43620,2020,1,236.68,11.340000000000003,5.032395491257657,2020.0,39,268232,39.0,0.14539652241343312,0.14539652241343312
1375,"Sioux Falls, SD",43620,2020,2,238.39,9.98999999999998,4.373905429071796,2020.25,3987,268232,3948.0,14.86399832980405,14.718601807390616
1376,"Sioux Falls, SD",43620,2020,3,242.99,11.159999999999997,4.813872233964541,2020.5,8498,268232,4511.0,31.68152942229115,16.817531092487098
1377,"Sioux Falls, SD",43620,2020,4,248.07,14.109999999999983,6.030945460762517,2020.75,33410,268232,24912.0,124.55635420084106,92.87482477854991
1378,"South Bend-Mishawaka, IN-MI",43780,2020,1,194.06,10.759999999999993,5.870158210583737,2020.0,55,323613,55.0,0.16995608952668775,0.16995608952668775
1379,"South Bend-Mishawaka, IN-MI",43780,2020,2,194.71,6.439999999999998,3.4206193233122626,2020.25,1985,323613,1930.0,6.133869776554094,5.963913687027406
1380,"South Bend-Mishawaka, IN-MI",43780,2020,3,200.34,10.099999999999994,5.309083263246422,2020.5,7393,323613,5408.0,22.8451885431055,16.711318766551404
1381,"South Bend-Mishawaka, IN-MI",43780,2020,4,205.41,14.5,7.595201927609868,2020.75,27458,323613,20065.0,84.84826011315985,62.00307157005435
1382,"Spartanburg, SC",43900,2020,1,199.68,14.5,7.830219246138892,2020.0,37,319785,37.0,0.11570273777694387,0.11570273777694387
1383,"Spartanburg, SC",43900,2020,2,199.99,7.719999999999999,4.015186976647422,2020.25,1609,319785,1572.0,5.031505542786559,4.915802805009616
1384,"Spartanburg, SC",43900,2020,3,204.65,9.0,4.600051111679019,2020.5,6979,319785,5370.0,21.824038025548415,16.792532482761853
1385,"Spartanburg, SC",43900,2020,4,208.42,11.639999999999986,5.915235288139032,2020.75,19756,319785,12777.0,61.779007770846036,39.95496974529762
1386,"Spokane-Spokane Valley, WA",44060,2020,1,261.58,19.539999999999992,8.073045777557425,2020.0,144,568521,144.0,0.2532887967199101,0.2532887967199101
1387,"Spokane-Spokane Valley, WA",44060,2020,2,267.94,18.120000000000005,7.253222320070453,2020.25,1403,568521,1259.0,2.4678068180419017,2.2145180213219917
1388,"Spokane-Spokane Valley, WA",44060,2020,3,278.16,23.410000000000025,9.189401373895986,2020.5,7313,568521,5910.0,12.863201183421547,10.395394365379644
1389,"Spokane-Spokane Valley, WA",44060,2020,4,285.76,27.5,10.648184000619532,2020.75,27356,568521,20043.0,48.117835576874036,35.254634393452484
1390,"Springfield, IL",44100,2020,1,154.77,3.2600000000000198,2.151673156887347,2020.0,17,206868,17.0,0.08217800723166464,0.08217800723166464
1391,"Springfield, IL",44100,2020,2,155.13,2.5600000000000023,1.6779183325686584,2020.25,456,206868,439.0,2.204304193978769,2.1221261867471046
1392,"Springfield, IL",44100,2020,3,156.5,2.819999999999993,1.834981780322744,2020.5,2611,206868,2155.0,12.62157511069861,10.417270916719842
1393,"Springfield, IL",44100,2020,4,157.8,2.7700000000000102,1.7867509514287625,2020.75,13948,206868,11337.0,67.42463793336815,54.80306282266953
1394,"Springfield, MA",44140,2020,1,220.92,12.0,5.743825387708214,2020.0,484,697382,484.0,0.6940242220189222,0.6940242220189222
1395,"Springfield, MA",44140,2020,2,223.88,10.009999999999993,4.680413335203624,2020.25,8104,697382,7620.0,11.620603915787905,10.926579693768982
1396,"Springfield, MA",44140,2020,3,228.08,10.860000000000014,4.999539637234147,2020.5,9946,697382,1842.0,14.26191097562025,2.6413070598323447
1397,"Springfield, MA",44140,2020,4,235.95,17.44999999999999,7.986270022883291,2020.75,31392,697382,21446.0,45.014066895904975,30.752155920284725
1398,"Springfield, MO",44180,2020,1,186.66,10.400000000000006,5.900374446839899,2020.0,62,421273,62.0,0.1471729733450755,0.1471729733450755
1399,"Springfield, MO",44180,2020,2,188.27,8.810000000000002,4.909171960325422,2020.25,422,470300,360.0,0.8972995960025515,0.7654688496704232
1400,"Springfield, MO",44180,2020,3,192.03,10.120000000000005,5.563190588752683,2020.5,10194,470300,9772.0,21.675526259834147,20.778226663831596
1401,"Springfield, MO",44180,2020,4,195.94,11.28,6.108523773421424,2020.75,33477,470300,23283.0,71.18222411226877,49.50669785243461
1402,"Springfield, OH",44220,2020,1,168.42,10.899999999999975,6.919756221432184,2020.0,6,134083,6.0,0.044748402109141355,0.044748402109141355
1403,"Springfield, OH",44220,2020,2,167.29,6.849999999999994,4.26950885066068,2020.25,729,134083,723.0,5.436930856260674,5.392182454151533
1404,"Springfield, OH",44220,2020,3,175.18,9.450000000000015,5.7020454956857645,2020.5,1873,134083,1144.0,13.968959525070293,8.532028668809618
